farmer_id,37203063,phone_number,region,age,education_level,gender,marital_status,dependents_count,household_income_sources,employment_type,mpesa_monthly_transactions,utility_payment_timeliness,farm_size_acres,soil_quality_index,farming_years,crop_type_current,past_crop_performance_index,agroclimatic_zone,rainfall_forecast_next_90d,historical_drought_risk,cooperative_member,mobile_advisory_usage,loan_default_past,input_use_history,has_insurance_before,willing_to_subscribe_insurance
F0020,62506224,004-279-3392x381,Kitale,43,Primary,Male,Single,6,"['None', 'Livestock']",Casual,16180.14,0.82,2.59,0.5,4,Tomatoes,0.39,Kitale_Z2,283.7,0.99,False,False,False,None,False,True
F0021,77653645,+1-580-054-5270x1981,Kitale,46,Primary,Male,Widowed,2,"['None', 'Small Business']",Casual,5854.65,0.45,1.79,0.6,11,Sorghum,0.93,Kitale_Z1,98.4,0.23,True,True,True,Irregular,False,False
F0022,68632554,(180)823-3504x54539,Narok,47,Primary,Male,Married,3,"['Livestock', 'Small Business']",Unemployed,9801.1,0.97,1.84,0.8,14,Kale,0.82,Narok_Z3,330,0.9,False,True,False,Irregular,False,True
F0023,3134863,+1-226-004-5114x38704,Kitale,39,Secondary,Female,Widowed,1,"['None', 'Livestock']",Self-employed,18185.11,0.76,3.48,0.3,21,Tomatoes,0.39,Kitale_Z2,113.6,0.26,False,True,False,Irregular,False,False
F0024,45041080,(033)835-5726,Kisumu,44,Primary,Male,Married,0,"['Livestock', 'Remittance']",Casual,13177.81,0.87,3.43,0.2,8,Beans,0.89,Kisumu_Z3,103.3,0.13,True,True,False,None,False,False
F0025,14940450,(781)638-3941x1406,Embu,56,Secondary,Male,Single,2,"['Livestock', 'Small Business']",Self-employed,18613.3,0.75,4.59,0.8,13,Beans,0.35,Embu_Z3,340.7,0.24,False,True,True,Irregular,False,False
F0026,57693358,045-511-4843x811,Kiambu,50,Secondary,Male,Married,6,"['None', 'Livestock']",Unemployed,19235.36,0.78,4.23,0.4,14,Beans,0.81,Kiambu_Z3,144.5,0.81,False,False,False,None,False,False
F0027,25767592,001-165-695-1488x03384,Embu,23,Primary,Female,Single,6,"['None', 'Small Business']",Unemployed,7059.73,0.7,1.96,0.9,7,Sorghum,0.86,Embu_Z2,147.9,0.6,False,True,True,Regular,True,False
F0028,45785509,(649)646-2679,Kitale,53,Secondary,Female,Widowed,5,"['None', 'Remittance']",Self-employed,2314.54,0.53,3.61,0.6,22,Kale,0.56,Kitale_Z3,235.8,0.43,False,False,False,Irregular,False,False
F0029,15074851,001-491-424-5230x4625,Embu,25,Secondary,Female,Single,5,"['Remittance', 'Livestock']",Casual,14902.79,0.57,3.15,0.6,4,Beans,0.51,Embu_Z2,112.8,0.01,True,False,True,Regular,False,True
F0030,10079485,611.741.3342x0341,Kitale,24,Secondary,Female,Married,3,"['None', 'Remittance']",Casual,19327.2,0.55,4.38,0.3,3,Tomatoes,0.64,Kitale_Z3,270.3,0.05,True,False,True,Regular,True,False
F0031,44131930,(091)311-1624x22567,Narok,56,Secondary,Male,Widowed,3,"['None', 'Remittance']",Full-time,17273.25,0.99,1.87,0.2,20,Maize,0.96,Narok_Z1,268.9,0.26,True,True,True,Regular,True,True
F0032,11841744,750.133.4690x4092,Kiambu,44,Primary,Female,Married,0,"['Remittance', 'None']",Full-time,14208.26,0.67,3.59,0.6,21,Kale,0.76,Kiambu_Z1,198.8,0.54,True,False,True,Regular,True,True
F0033,52926694,+1-475-849-4379,Kisumu,56,Secondary,Female,Married,0,"['None', 'Small Business']",Full-time,14144.81,0.97,2.75,0.9,15,Maize,0.72,Kisumu_Z2,307.1,0.6,True,True,True,None,True,False
F0034,34458151,+1-651-992-8755x53792,Narok,20,Secondary,Male,Married,4,"['None', 'Remittance']",Casual,19940.44,0.66,4.16,0.3,16,Sorghum,0.59,Narok_Z2,284.5,0.86,False,False,False,Irregular,False,True
F0035,21976165,035.321.9437,Kitale,23,Primary,Female,Single,6,"['None', 'Small Business']",Self-employed,13324.38,0.73,2.36,0.5,17,Sorghum,0.74,Kitale_Z2,268.9,0.76,True,False,True,Irregular,False,False
F0036,31782464,001-273-214-1079x0688,Kiambu,19,Tertiary,Male,Widowed,1,"['Small Business', 'None']",Self-employed,11268.9,0.46,4.97,0.3,15,Maize,0.75,Kiambu_Z1,224.4,0.72,False,False,False,Irregular,True,False
F0037,40494417,040-676-9891x31399,Narok,27,Primary,Male,Single,2,"['None', 'Remittance']",Full-time,16500.71,0.57,1.84,0.9,5,Tomatoes,0.68,Narok_Z2,166.4,0.76,False,False,False,Regular,True,False
F0038,90995422,+1-055-647-7753,Embu,44,None,Female,Widowed,6,"['None', 'Remittance']",Casual,10158.91,0.42,2.76,0.7,4,Tomatoes,0.37,Embu_Z2,55.4,0.14,True,True,False,Irregular,False,False
F0039,80051344,6103259061,Kiambu,39,Secondary,Female,Married,5,"['None', 'Small Business']",Self-employed,12540.46,0.54,3.58,0.6,8,Maize,0.6,Kiambu_Z1,316.1,0.7,True,False,True,None,False,True
F0040,18542657,045-299-0394,Kiambu,38,Secondary,Female,Married,2,"['None', 'Livestock']",Casual,10857.74,0.74,4.07,0.4,6,Maize,0.73,Kiambu_Z2,266.9,0.24,True,True,False,None,False,False
F0041,19812704,001-495-155-8272x89129,Kisumu,60,None,Female,Married,5,"['Remittance', 'Livestock']",Unemployed,18932.09,0.99,1.85,0.8,23,Sorghum,0.62,Kisumu_Z2,119.7,0.38,False,True,True,Irregular,False,False
F0042,69653347,+1-980-648-3205x38531,Kisumu,19,Tertiary,Female,Married,0,"['Livestock', 'Small Business']",Unemployed,16740.36,0.94,3.99,0.5,20,Sorghum,0.45,Kisumu_Z1,267.3,0.68,True,True,True,Irregular,False,True
F0043,57900537,672-159-8820x31568,Narok,41,Secondary,Male,Married,2,"['None', 'Livestock']",Casual,3077.12,0.72,4.87,0.6,6,Sorghum,0.94,Narok_Z2,388.6,0.3,False,True,False,Regular,True,True
F0044,69018672,(173)345-3548,Kitale,53,Primary,Female,Single,2,"['Livestock', 'Remittance']",Full-time,13620.15,0.8,3.13,0.7,4,Beans,0.63,Kitale_Z3,359.5,0.56,True,True,False,None,False,False
F0045,80161170,797.191.0859,Kiambu,26,None,Male,Married,3,"['Livestock', 'None']",Casual,17801.56,0.48,2.54,0.8,19,Beans,0.92,Kiambu_Z3,84.7,0.49,False,False,True,None,False,True
F0046,68197056,974.586.6735,Kitale,46,Tertiary,Female,Single,5,"['Small Business', 'None']",Full-time,1680.73,0.57,4.86,0.9,3,Beans,0.75,Kitale_Z3,389.9,0.05,False,True,True,None,True,True
F0047,32524268,572.879.8536,Narok,31,Secondary,Male,Married,6,"['Remittance', 'Small Business']",Self-employed,5906.86,0.99,4.94,0.6,6,Maize,0.76,Narok_Z1,96.1,0.36,True,False,True,Regular,False,True
F0048,36936021,168.930.5907,Embu,65,Primary,Male,Widowed,0,"['None', 'Remittance']",Full-time,10508.14,0.47,2.77,0.2,24,Kale,0.51,Embu_Z3,387.4,0.06,False,False,False,None,True,False
F0049,78886587,+1-275-144-1753x2887,Kitale,22,Secondary,Female,Widowed,1,"['Livestock', 'None']",Full-time,12674.19,0.75,3.7,0.8,20,Kale,0.51,Kitale_Z3,261.9,0.1,True,True,False,Irregular,True,False
F0050,59045843,+1-023-387-8773x26488,Kisumu,47,Primary,Male,Married,3,"['Small Business', 'None']",Full-time,7798.87,0.49,4.65,0.3,3,Maize,0.37,Kisumu_Z1,310.6,0.37,True,True,False,None,True,False
F0051,67929459,1161070824,Kisumu,60,Tertiary,Female,Widowed,0,"['Small Business', 'None']",Full-time,7357.1,0.75,1.46,0.9,8,Maize,0.55,Kisumu_Z3,178.6,0.76,True,False,True,None,False,True
F0052,48178562,121.987.4468x37473,Embu,35,Secondary,Female,Married,2,"['Livestock', 'None']",Casual,11543.26,0.64,1.14,0.2,3,Kale,0.45,Embu_Z2,208.8,0.16,False,False,True,Regular,True,True
F0053,69723890,678.970.9968x32892,Narok,21,Secondary,Female,Married,5,"['None', 'Remittance']",Unemployed,8576.58,0.53,2.81,0.7,14,Maize,0.5,Narok_Z3,257.6,0.53,False,True,True,Irregular,True,True
F0054,35995212,182.791.6437x05587,Embu,37,Tertiary,Male,Married,2,"['Small Business', 'Livestock']",Self-employed,10199.01,0.66,1.08,0.5,17,Kale,0.88,Embu_Z2,75.2,0.86,True,False,True,Irregular,True,False
F0055,18299832,465.846.6073,Narok,45,Secondary,Female,Married,0,"['None', 'Livestock']",Full-time,3851.53,0.97,2.57,0.7,3,Tomatoes,0.89,Narok_Z1,202.5,0.4,True,False,False,None,False,True
F0056,71922485,680.225.6749,Kisumu,28,None,Male,Widowed,4,"['Remittance', 'None']",Full-time,14683.89,0.89,4.17,0.5,4,Beans,0.48,Kisumu_Z1,260.8,0.76,True,True,False,Irregular,False,False
F0057,66713541,341.382.6281x30698,Kisumu,27,Primary,Female,Married,5,"['Small Business', 'Remittance']",Self-employed,7362.87,0.44,2.58,0.2,2,Sorghum,0.88,Kisumu_Z1,275.6,0.98,True,False,False,None,True,False
F0058,50583344,(065)722-3873,Narok,59,Primary,Female,Widowed,1,"['Livestock', 'Remittance']",Self-employed,16313.85,0.9,4.92,0.3,17,Beans,0.33,Narok_Z3,203.2,0.44,True,False,False,Irregular,False,False
F0059,64942380,464-174-7374x62950,Kisumu,61,Secondary,Female,Single,2,"['Livestock', 'Small Business']",Unemployed,6040.87,0.83,3.45,0.4,11,Maize,0.71,Kisumu_Z1,370.9,0.31,False,True,True,Irregular,False,False
F0060,49545476,(706)259-1368,Embu,60,Secondary,Male,Widowed,5,"['None', 'Small Business']",Full-time,855.5,0.59,4.78,0.7,25,Tomatoes,0.43,Embu_Z1,104.2,0.3,True,True,False,None,True,False
F0061,67634354,(789)996-7426x76737,Embu,28,Primary,Male,Widowed,3,"['Livestock', 'Remittance']",Full-time,13689.08,0.54,2.5,0.6,25,Tomatoes,0.46,Embu_Z1,158.3,0.81,False,True,False,None,False,False
F0062,13882377,466.816.7790x6094,Kisumu,42,Secondary,Female,Single,6,"['Remittance', 'Small Business']",Casual,17523.54,0.43,2.66,0.7,18,Maize,0.8,Kisumu_Z3,347.9,0.29,True,False,False,None,True,False
F0063,31735665,001-600-115-3164x01141,Kiambu,32,Secondary,Female,Single,3,"['Livestock', 'Remittance']",Full-time,5097.67,1,2.19,0.2,11,Maize,0.89,Kiambu_Z3,167.4,0.15,True,False,False,None,True,False
F0064,70132344,001-667-513-7459,Kitale,57,None,Male,Single,2,"['Remittance', 'Livestock']",Unemployed,2668.14,0.57,1.86,0.2,8,Tomatoes,0.75,Kitale_Z3,210,0.11,False,True,True,None,True,False
F0065,59657075,972.506.1879x58123,Kitale,18,Secondary,Male,Widowed,3,"['Remittance', 'Small Business']",Self-employed,10707.95,0.62,4.79,0.2,13,Tomatoes,0.33,Kitale_Z2,393.4,0.25,True,False,True,Irregular,True,True
F0066,8366050,(315)103-1520x4042,Narok,65,Secondary,Male,Single,2,"['Small Business', 'None']",Casual,16692.48,0.81,4.91,0.9,21,Beans,0.87,Narok_Z1,300.6,0.94,True,False,True,Regular,True,True
F0067,40530749,001-327-325-9264x5094,Kisumu,37,Secondary,Female,Married,0,"['Remittance', 'None']",Full-time,17311.7,0.43,3.45,0.6,4,Sorghum,0.61,Kisumu_Z2,310.2,0.89,False,False,True,Irregular,False,False
F0068,40022186,2771105873,Narok,35,Secondary,Female,Single,3,"['Remittance', 'Small Business']",Full-time,6763.62,0.45,3.47,0.6,15,Kale,0.8,Narok_Z1,291.4,0.35,True,False,False,Irregular,True,True
F0069,47496835,382-663-7479x121,Kitale,41,Secondary,Male,Single,1,"['None', 'Livestock']",Casual,1811.05,0.87,2.15,0.8,19,Maize,0.72,Kitale_Z3,207.5,0.37,False,True,True,None,False,False
F0070,89911620,+1-919-914-7627x7165,Kisumu,59,Primary,Male,Single,5,"['Remittance', 'None']",Unemployed,18314.08,0.47,3.99,0.9,7,Kale,0.5,Kisumu_Z2,120.1,0.14,True,False,True,None,False,True
F0071,41384375,047.685.2005,Kisumu,60,Primary,Male,Widowed,4,"['Small Business', 'Remittance']",Casual,14380.28,0.96,3.37,0.7,17,Beans,0.38,Kisumu_Z1,327.2,0.24,False,True,False,None,False,False
F0072,79912134,775.562.8694,Narok,26,Secondary,Male,Single,2,"['None', 'Small Business']",Unemployed,10751.07,0.86,4.21,0.3,5,Sorghum,0.75,Narok_Z2,213,0.52,True,True,True,Irregular,True,True
F0073,36801272,+1-700-765-1388,Narok,27,Primary,Male,Married,5,"['Remittance', 'None']",Full-time,16995.71,0.55,3.36,0.6,5,Sorghum,0.73,Narok_Z1,225.9,0.17,True,True,False,None,True,True
F0074,46440460,935-351-4949x3301,Kiambu,20,Tertiary,Female,Widowed,1,"['None', 'Small Business']",Self-employed,10211.74,0.78,1.8,0.6,16,Beans,0.86,Kiambu_Z3,192.1,0.45,True,True,False,Irregular,False,False
F0075,92919756,574-848-6000x4935,Embu,39,Secondary,Female,Widowed,2,"['Small Business', 'Remittance']",Casual,15332.97,0.71,0.98,0.5,15,Maize,0.49,Embu_Z1,99.3,0.05,False,False,True,Regular,False,False
F0076,14426592,+1-536-155-2252x6392,Embu,28,Primary,Female,Married,2,"['None', 'Livestock']",Self-employed,18932.04,0.7,4.85,0.5,19,Sorghum,0.33,Embu_Z2,223.2,0.88,False,False,True,Regular,False,True
F0077,45737168,(352)153-2434x3494,Kisumu,64,Primary,Female,Married,0,"['None', 'Livestock']",Casual,7569.21,0.57,2.24,0.9,25,Kale,0.5,Kisumu_Z3,288.1,0.12,True,False,False,Irregular,False,True
F0078,38701191,788.739.4101,Embu,56,Secondary,Male,Single,0,"['Remittance', 'Small Business']",Full-time,16177.33,0.71,1.17,0.4,11,Kale,0.52,Embu_Z2,396.7,0.74,False,False,False,None,False,False
F0079,32386131,+1-503-309-9254x341,Kiambu,41,Primary,Male,Married,4,"['Small Business', 'None']",Self-employed,12139.74,0.56,3.45,0.5,24,Maize,0.71,Kiambu_Z1,233.5,0.72,False,True,True,Regular,True,True
F0080,66319688,001-289-865-2313x461,Kiambu,46,Primary,Male,Married,5,"['Remittance', 'None']",Unemployed,17519.95,0.84,0.78,0.4,17,Beans,0.69,Kiambu_Z3,217.4,0.38,True,False,False,None,False,False
F0081,26969383,+1-657-877-8332x8411,Narok,48,Primary,Male,Married,4,"['Small Business', 'Livestock']",Full-time,15537.9,0.82,3.61,0.9,11,Tomatoes,0.54,Narok_Z3,145.7,0.12,False,False,False,Regular,False,True
F0082,56258496,2123610972,Kisumu,63,None,Female,Widowed,2,"['None', 'Livestock']",Casual,16645.06,0.56,3.03,0.6,5,Maize,0.73,Kisumu_Z3,133.7,0.05,True,True,True,Regular,False,False
F0083,16813878,001-379-978-8213,Kitale,24,Secondary,Male,Single,4,"['Remittance', 'None']",Unemployed,9810.25,0.52,4.84,0.7,10,Maize,0.94,Kitale_Z1,278.3,0.23,True,True,False,Regular,True,False
F0084,57371343,412-205-9321x2786,Kitale,29,Tertiary,Female,Single,0,"['Small Business', 'None']",Self-employed,18604.87,0.6,2.54,0.9,5,Kale,0.63,Kitale_Z1,333.1,0.33,False,False,True,Regular,False,False
F0085,48595206,(664)004-6486x00609,Narok,61,Secondary,Male,Widowed,6,"['None', 'Remittance']",Full-time,2191.39,0.8,1.33,0.4,16,Sorghum,0.96,Narok_Z1,141.3,0.24,False,False,False,None,True,False
F0086,86261244,4071539598,Kisumu,62,Primary,Male,Married,2,"['Remittance', 'None']",Full-time,13960.66,0.78,4.73,0.7,20,Beans,0.45,Kisumu_Z1,217.4,0.45,False,False,False,None,True,True
F0087,16292728,(021)714-4922x20391,Narok,23,Secondary,Female,Single,4,"['Livestock', 'None']",Casual,11667.68,0.49,1.98,0.9,4,Beans,0.8,Narok_Z2,81.8,0.51,True,False,True,None,False,False
F0088,12957616,9391735131,Narok,21,Secondary,Female,Widowed,0,"['None', 'Remittance']",Self-employed,15043.19,0.75,0.7,0.7,23,Maize,0.68,Narok_Z1,377.1,0.07,False,True,False,Irregular,True,True
F0089,98591766,(523)245-7601,Kitale,41,Tertiary,Female,Married,6,"['None', 'Remittance']",Self-employed,13813.24,0.8,2.93,0.7,4,Beans,0.99,Kitale_Z2,235.1,0.73,True,True,True,Irregular,False,False
F0090,5353710,943-811-0597x18673,Narok,42,Secondary,Male,Married,2,"['Remittance', 'None']",Casual,18779.5,0.84,1.01,0.8,20,Maize,0.47,Narok_Z1,85.3,0.03,True,True,True,Irregular,False,True
F0091,89096134,(217)508-3863x303,Narok,31,Secondary,Male,Single,4,"['Small Business', 'Livestock']",Full-time,11760.76,0.86,4.18,0.5,10,Beans,0.99,Narok_Z3,127.4,0.3,True,True,False,None,False,True
F0092,43372049,738-225-3966x77782,Kisumu,59,Secondary,Female,Widowed,3,"['None', 'Livestock']",Full-time,7840.97,0.85,2.63,0.5,10,Beans,0.86,Kisumu_Z1,246.8,0.97,True,False,True,Irregular,True,False
F0093,83256544,+1-860-841-9372,Kiambu,46,Secondary,Male,Widowed,5,"['Remittance', 'Livestock']",Full-time,7854.78,0.76,0.68,0.3,7,Kale,0.81,Kiambu_Z3,126,0.21,False,False,True,Regular,True,True
F0094,39443695,460-502-0313,Kitale,33,Secondary,Male,Married,1,"['Small Business', 'Remittance']",Unemployed,9591.88,0.79,1.89,0.7,17,Tomatoes,0.63,Kitale_Z3,214.3,0.84,True,False,False,Irregular,True,True
F0095,84550625,001-417-574-0978x7954,Embu,19,Primary,Female,Married,1,"['Remittance', 'None']",Casual,7906.88,0.9,2.75,0.7,9,Tomatoes,0.98,Embu_Z3,308.9,0.46,False,True,True,None,False,True
F0096,68701724,(190)920-5145x5843,Narok,59,Tertiary,Male,Single,6,"['Livestock', 'None']",Unemployed,3181.08,0.78,0.81,0.4,1,Beans,0.65,Narok_Z2,71.2,0.64,False,False,True,Regular,False,True
F0097,35361698,(553)942-0726x32673,Kiambu,51,Secondary,Female,Single,4,"['None', 'Livestock']",Self-employed,18401.95,0.71,1.58,0.6,12,Sorghum,0.86,Kiambu_Z1,180.6,0.41,True,True,False,None,True,True
F0098,47970113,837.016.9552,Kiambu,43,Primary,Female,Single,5,"['Livestock', 'Small Business']",Casual,2112.38,0.91,3.4,0.7,19,Maize,0.93,Kiambu_Z1,130.4,0.9,False,False,True,Regular,False,True
F0099,32320364,7305372968,Embu,38,None,Male,Widowed,1,"['None', 'Livestock']",Full-time,3667.78,0.54,4.26,0.8,22,Kale,0.53,Embu_Z3,99,0.99,True,False,True,Regular,False,True
F0100,,+1-737-649-7525,Kiambu,39,Secondary,Female,Married,0,"['Small Business', 'Remittance']",Unemployed,4948.7,0.73,2.19,0.4,22,Kale,0.76,Kiambu_Z1,320.3,0.3,True,True,True,Irregular,True,False
